website_name,product_name,product_image,brand,category,subcategory,price,original_price,discount_percent,rating,review_count,size_options,color,fit_type,fabric,sleeve_type,pattern,description,availability,seller,product_url,scrape_date
Ajio,Styli Green Women Lace Collar Placket Detail Solid Relaxed Fit Shirt,https://assets.ajio.com/medias/sys_master/root/20240628/YVZd/667ecf106f60443f31f36757/styli_green_women_lace_collar_placket_detail_solid_relaxed_fit_shirt.jpg,Styli,Women,Shirts,504,1599,55,,,,Green,Relaxed Fit,,,Solid,"Styli Green Women Lace Collar Placket Detail Solid Relaxed Fit Shirt. Brand: Styli. Color: Green. Fit: Relaxed Fit. Pattern: Solid. Category: Women, Shirts",InStock,,https://www.ajio.com/styli-women-lace-collar-placket-detail-solid-relaxed-fit-shirt/p/700139760_green,2026-06-26T12:13:00.063541+00:00
Ajio,Killer White Women Patterned Regular Fit Shirt,https://assets.ajio.com/medias/sys_master/root1/20251202/PYU2/692eefd9720fb821d364bad2/killer_white_women_patterned_regular_fit_shirt.jpg,Killer,Women,Shirts,240,1599,85,,,,White,Regular Fit,,,,"Killer White Women Patterned Regular Fit Shirt. Brand: Killer. Color: White. Fit: Regular Fit. Category: Women, Shirts",InStock,,https://www.ajio.com/killer-women-patterned-regular-fit-shirt/p/469743380_white,2026-06-26T12:13:00.063541+00:00
Ajio,Vishudh White Women Embroidered Regular Fit Shirt,https://assets.ajio.com/medias/sys_master/root1/20251117/r45H/691b19cd88d6d62ff8f05f44/vishudh_white_women_embroidered_regular_fit_shirt.jpg,Vishudh,Women,Shirts,902,1899,32,,,,White,Regular Fit,,,Embroidered,"Vishudh White Women Embroidered Regular Fit Shirt. Brand: Vishudh. Color: White. Fit: Regular Fit. Pattern: Embroidered. Category: Women, Shirts",InStock,,https://www.ajio.com/vishudh-women-embroidered-regular-fit-shirt/p/702507759_white,2026-06-26T12:13:00.063541+00:00
Ajio,ELIXORIA Perrot Women Regular Fit Shirt with Spread Collar,https://assets.ajio.com/medias/sys_master/root1/20250829/3FHA/68b1b15b8bfb9009acbcaf65/elixoria_perrot_women_regular_fit_shirt_with_spread_collar.jpg,ELIXORIA,Women,Shirts,291,1299,68,,,XL,Lime,Regular Fit,,,,"ELIXORIA Perrot Women Regular Fit Shirt with Spread Collar. Brand: ELIXORIA. Color: Lime. Fit: Regular Fit. Size: XL. Category: Women, Shirts",InStock,,https://www.ajio.com/elixoria-women-regular-fit-shirt-with-spread-collar/p/702160449_lime,2026-06-26T12:13:00.063541+00:00
Ajio,RIO Wine Women Regular Fit Shirt with Flap Pockets,https://assets.ajio.com/medias/sys_master/root1/20260206/Ub5q/69858df07ef0c7385cbba960/rio_wine_women_regular_fit_shirt_with_flap_pockets.jpg,RIO,Women,Shirts,178,699,49,,,,Wine,Regular Fit,,,,"RIO Wine Women Regular Fit Shirt with Flap Pockets. Brand: RIO. Color: Wine. Fit: Regular Fit. Category: Women, Shirts. 941 shoppers wishlisted in last 30 days",InStock,,https://www.ajio.com/rio-women-regular-fit-shirt-with-flap-pockets/p/443110173_wine,2026-06-26T12:13:00.063541+00:00
Ajio,VOLTEDGE Pink Women Oversized Fit Shirt,https://assets.ajio.com/medias/sys_master/root/20250120/B3NH/678e7f17663dbe1c5fe78bd3/voltedge_pink_women_oversized_fit_shirt.jpg,VOLTEDGE,Women,Shirts,839,1999,40,,,S,Pink,Oversized Fit,,,,"VOLTEDGE Pink Women Oversized Fit Shirt. Brand: VOLTEDGE. Color: Pink. Fit: Oversized Fit. Size: S. Category: Women, Shirts. 1K shoppers wishlisted in last 30 days",InStock,,https://www.ajio.com/voltedge-women-oversized-fit-shirt/p/701024572_pink,2026-06-26T12:13:00.063541+00:00
Ajio,VAN HEUSEN Blue Women Regular Fit Shirt with Flap Pockets,https://assets.ajio.com/medias/sys_master/root/20250712/G83w/68715858e590ff066e476c32/van_heusen_blue_women_regular_fit_shirt_with_flap_pockets.jpg,VAN HEUSEN,Women,Shirts,789,2299,51,,,,Blue,Regular Fit,,,,"VAN HEUSEN Blue Women Regular Fit Shirt with Flap Pockets. Brand: VAN HEUSEN. Color: Blue. Fit: Regular Fit. Category: Women, Shirts",InStock,,https://www.ajio.com/van-heusen-women-regular-fit-shirt-with-flap-pockets/p/701925405_blue,2026-06-26T12:13:00.063541+00:00
Ajio,ONLY Black & Beige Women Striped Regular Fit Shirt,https://assets.ajio.com/medias/sys_master/root/20250430/F16F/6812108c7a6cd4182f056c3c/only_black_%26_beige_women_striped_regular_fit_shirt.jpg,ONLY,Women,Shirts,980,3499,60,,,,Black,Regular Fit,,,Striped,"ONLY Black & Beige Women Striped Regular Fit Shirt. Brand: ONLY. Color: Black. Fit: Regular Fit. Pattern: Striped. Category: Women, Shirts",InStock,,https://www.ajio.com/only-women-striped-regular-fit-shirt/p/469734453_black,2026-06-26T12:13:00.063541+00:00
Ajio,PINACOLADA Purple Women Relaxed Fit Shirt,https://assets.ajio.com/medias/sys_master/root1/20260219/09wP/699719a57ef0c7385c1395a8/pinacolada_purple_women_relaxed_fit_shirt.jpg,PINACOLADA,Women,Shirts,525,1499,50,,,S,Purple,Relaxed Fit,,,,"PINACOLADA Purple Women Relaxed Fit Shirt. Brand: PINACOLADA. Color: Purple. Fit: Relaxed Fit. Size: S. Category: Women, Shirts",InStock,,https://www.ajio.com/pinacolada-women-relaxed-fit-shirt/p/702674205_purple,2026-06-26T12:13:00.063541+00:00
Ajio,YOUSTA White Women Checked Relaxed Fit Shirt,https://assets.ajio.com/medias/sys_master/root1/20250721/LPFF/687e3bb06034bf77f0e1add0/yousta_white_women_checked_relaxed_fit_shirt.jpg,YOUSTA,Women,Shirts,168,599,60,,,,White,Relaxed Fit,,,Checkered,"YOUSTA White Women Checked Relaxed Fit Shirt. Brand: YOUSTA. Color: White. Fit: Relaxed Fit. Pattern: Checkered. Category: Women, Shirts",InStock,,https://www.ajio.com/yousta-women-checked-relaxed-fit-shirt/p/443076623_white,2026-06-26T12:13:00.063541+00:00
Ajio,LERIYA FASHION White Women Relaxed Fit Rayon Shirt,https://assets.ajio.com/medias/sys_master/root1/20260220/ld9H/69976e2fcbfa0d5608228208/leriya_fashion_white_women_relaxed_fit_rayon_shirt.jpg,LERIYA FASHION,Women,Shirts,462,1999,67,,,2XL,White,Relaxed Fit,Rayon,,,"LERIYA FASHION White Women Relaxed Fit Rayon Shirt. Brand: LERIYA FASHION. Color: White. Fit: Relaxed Fit. Fabric: Rayon. Size: 2XL. Category: Women, Shirts",InStock,,https://www.ajio.com/leriya-fashion-women-relaxed-fit-rayon-shirt/p/702986847_white,2026-06-26T12:13:00.063541+00:00
Ajio,Outzidr Global Green Women Embroidered Oversized Shirt with Spread Collar,https://assets.ajio.com/medias/sys_master/root1/20251013/KTsE/68ecdca63d468c61ab5bdce6/outzidr_global_green_women_embroidered_oversized_shirt_with_spread_collar.jpg,Outzidr Global,Women,Shirts,617,899,2,,,,Green,,,,Embroidered,"Outzidr Global Green Women Embroidered Oversized Shirt with Spread Collar. Brand: Outzidr Global. Color: Green. Pattern: Embroidered. Category: Women, Shirts. 1.3K shoppers wishlisted in last 30 days",InStock,,https://www.ajio.com/outzidr-global-women-embroidered-oversized-shirt-with-spread-collar/p/702384941_green,2026-06-26T12:13:00.063541+00:00
Ajio,YOUSTA White Women Shirt-Collar Oversized Shirt,https://assets.ajio.com/medias/sys_master/root1/20250812/nPHo/689b38763d468c61ab669e0f/yousta_white_women_shirt-collar_oversized_shirt.jpg,YOUSTA,Women,Shirts,196,699,60,,,,White,,,,,"YOUSTA White Women Shirt-Collar Oversized Shirt. Brand: YOUSTA. Color: White. Category: Women, Shirts",InStock,,https://www.ajio.com/yousta-women-shirt-collar-oversized-shirt/p/443089241_white,2026-06-26T12:13:00.063541+00:00
Ajio,DNMX Pink Women Striped Relaxed Fit Shirt with Wide Roll-Up Sleeves,https://assets.ajio.com/medias/sys_master/root1/20260130/7o7I/697ca6abcbfa0d5608ab6bd5/dnmx_pink_women_striped_relaxed_fit_shirt_with_wide_roll-up_sleeves.jpg,DNMX,Women,Shirts,204,799,49,,,,Pink,Relaxed Fit,,Roll-Up Sleeve,Striped,"DNMX Pink Women Striped Relaxed Fit Shirt with Wide Roll-Up Sleeves. Brand: DNMX. Color: Pink. Fit: Relaxed Fit. Sleeve: Roll-Up Sleeve. Pattern: Striped. Category: Women, Shirts. 4.9K shoppers wishlisted in last 30 days",InStock,,https://www.ajio.com/dnmx-women-striped-relaxed-fit-shirt-with-wide-roll-up-sleeves/p/443106493_pink,2026-06-26T12:13:00.063541+00:00
