website_name,product_name,product_image,brand,category,subcategory,price,original_price,discount_percent,rating,review_count,size_options,color,fit_type,fabric,sleeve_type,pattern,description,availability,seller,product_url,scrape_date
Myntra,Zyla Women Relaxed Semi Sheer Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2026/APRIL/27/MlzjyTnz_16590fc9801e4040bd33f5624daafb5d.jpg",Zyla,Apparel,Shirts,414,2199,81,4,312,"S/M, M/L, L/XL",Pink,Regular Fit,Cotton,Long Sleeves,Self Design,"Pink Solid Self Design Semi Sheer Casual shirts ,has a Spread Collar, Button Placket, 1 Patch pocket, Long Regular Sleeves, Curved hem Brand Fit: Relaxed Fit: Regular Fit The model (height 5'8) is wearing a size S cotton Machine Wash Wash care: Machine Wash",InStock,SHAGUN CREATIONS,https://www.myntra.com/Shirts/Zyla/Zyla-Women-Relaxed-Semi-Sheer-Casual-Shirt/41669824/buy,2026-06-26T05:32:19.624356+00:00
Myntra,Femibazaar Women Relaxed Striped Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2025/NOVEMBER/4/892QeUot_5210845d7b4f404895e5fea5b6cd515b.jpg",Femibazaar,Apparel,Shirts,449,1599,72,4.1,379,"S, M, L, XL",Pink,Oversized,Polycotton,Long Sleeves,Striped,"Pink vertical stripes striped opaque Casual shirt ,has a spread collar, button placket, long roll-up sleeves, curved hem Brand Fit: Relaxed Fit: Oversized The model (height 5'8) is wearing a size S Gentle Machine Wash Wash care: Machine Wash",InStock,THE GOLDEN SEW,https://www.myntra.com/Shirts/Femibazaar/Femibazaar-Women-Relaxed-Striped-Casual-Shirt/37763340/buy,2026-06-26T05:32:19.624356+00:00
Myntra,The Roadster Lifestyle Co. Women Spread Collar Textured Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2024/DECEMBER/3/nkS7B1gV_a5f44d5f250a4cb08fbc61385dd76dc9.jpg",Roadster,Apparel,Shirts,638,2099,70,4.2,7009,"XS, S, M, L, XL, XXL",Pink,Regular Fit,Polyester,Long Sleeves,Self Design,1 Pink opaque casual shirt Spread collar Button placket Long sleeves Straight hemline Regular Fit The model (height 5.8') is wearing a size S Polyester Machine Wash Wash care: Machine Wash,InStock,Savadika Retail Private Limited,https://www.myntra.com/Shirts/Roadster/The-Roadster-Lifestyle-Co-Women-Spread-Collar-Textured-Casual-Shirt/31820702/buy,2026-06-26T05:32:19.624356+00:00
Myntra,Funday Fashion Women Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2026/FEBRUARY/24/RMFnWB2Q_c1668c0195254e969c27f82200f97b0c.jpg",Funday Fashion,Apparel,Shirts,726,1499,52,3.9,678,"S, M, L, XL",Blue,Oversized,Denim,Long Sleeves,Solid,"Blue Solid Opaque Casual shirts ,has a Spread Collar, Button Placket, Long Roll-Up Sleeves, Curved hem Brand Fit: Fit: Oversized The model (height 5'8) is wearing a size S Hand Wash Only Wash care: Machine Wash",InStock,SYS ONLINE STORE,https://www.myntra.com/Shirts/Funday+Fashion/Funday-Fashion-Women-Casual-Shirt/40288341/buy,2026-06-26T05:32:19.624356+00:00
Myntra,The Roadster Life Co. Washed Effect Pleated Detail Pure Cotton Wrap-Style Denim Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2025/OCTOBER/1/V6iqlbv2_3936e14cb93440b5baf0a7b6e1e15189.jpg",Roadster,Apparel,Shirts,894,1999,55,4.4,9788,"XS, S, M, L, XL, XXL",Blue,Regular Fit,Cotton,Long Sleeves,Solid,"Blue washed effect opaque wrap-style casual shirt with pleated detail, has a spread collar, button placket, long regular sleeves, straight hem Fit: Regular Fit The model (height 5'8) is wearing a size S 100% Cotton Machine wash Wash care: Machine Wash",InStock,STREAMLINE APPARELS PRIVATE LIMITED,https://www.myntra.com/Shirts/Roadster/The-Roadster-Life-Co-Washed-Effect-Pleated-Detail-Pure-Cotton-Wrap-Style-Denim-Shirt/37167891/buy,2026-06-26T05:32:19.624356+00:00
Myntra,The Roadster Life Co. Striped Seersucker Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2025/SEPTEMBER/1/94a90NOU_d9ade7ec0ce6404c9cc03471aff644fc.jpg",Roadster,Apparel,Shirts,924,2199,58,4.3,2822,"XS, S, M, L, XL, XXL",Blue,Regular Fit,Cotton,Long Sleeves,Striped,"Blue vertical stripes striped opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, straight hem Brand Fit: Classic Fit: Regular Fit The model (height 5'8) is wearing a size S 100% Cotton Machine-wash Wash care: Machine Wash",InStock,STREAMLINE APPARELS PRIVATE LIMITED,https://www.myntra.com/Shirts/Roadster/The-Roadster-Life-Co-Striped-Seersucker-Casual-Shirt/36569471/buy,2026-06-26T05:32:19.624356+00:00
Myntra,Lahaba Women Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2026/JUNE/2/JRQo57Do_a7485343796249069112044d4b555244.jpg",Lahaba,Apparel,Shirts,388,999,61,3.3,19,"S, M, L, XL, XXL",Black,Regular Fit,Cotton,Long Sleeves,Textured,"Black Textured Opaque Casual shirts ,has a Spread Collar, Button Placket, Long Regular Sleeves, Curved hem Brand Fit: Fit: Regular Fit The model (height 5'8) is wearing a size S Style this classic black shirt with blue denim jeans and minimal gold accessories for a timeless casual look. You can also tuck it into tailored trousers or a skirt for a smart semi-formal outfit perfect for brunches, meetings, or casual evenings. Machine Wash Wash care: Machine Wash",InStock,A K GARMENTS,https://www.myntra.com/Shirts/Lahaba/Lahaba-Women-Casual-Shirt/42759942/buy,2026-06-26T05:32:19.624356+00:00
Myntra,Anouk Spread Collar Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/31419306/2025/5/20/9e48d41f-2672-444e-a579-efcd59ae9f231747735031611-Anouk-Women-Shirt-Collar-Full-Sleeve-Shirt-931747735031256-1.jpg",Anouk,Apparel,Shirts,784,2199,64,4,772,"XS, S, M, L, XL, XXL",Yellow,Regular Fit,"Polyester, Cotton",Long Sleeves,Solid,"Yellow solid opaque casual shirt ,has a spread collar, button placket, three-quarter regular sleeves, curved hem The model (height 5'8) is wearing a size S Polyester Machine Wash Wash care: Machine Wash",InStock,Mokksha Designs,https://www.myntra.com/Shirts/Anouk/Anouk-Spread-Collar-Casual-Shirt-/31419306/buy,2026-06-26T05:32:19.624356+00:00
Myntra,Roadster Women Rust Red Boxy Solid Pure Cotton High-Low Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/13398704/2021/3/16/cfdf4374-1be7-4b9a-b0fe-a70d5ac8d9461615886242820-Roadster-Women-Shirts-8531615886241863-1.jpg",Roadster,Apparel,Shirts,527,1199,56,4.1,1152,"XS, S, M, L, XL, XXL",Rust,Boxy,Cotton,Long Sleeves,Solid,"Rust red solid casual shirt, has a mandarin collar, long sleeves, button placket, and high-low hem The model (height 5'8"") is wearing a size S This shirt from Roadster has a traditional design. Style yours with dark denims and leather-trimmed accessories for a chic party look. Material: Cotton Machine Wash Wash care: Machine Wash",InStock,Savadika Retail Private Limited,https://www.myntra.com/Shirts/Roadster/Roadster-Women-Rust-Red-Boxy-Solid-Pure-Cotton-High-Low-Casual-Shirt/13398704/buy,2026-06-26T05:32:19.624356+00:00
Myntra,Zyla Women Relaxed Semi Sheer Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2026/APRIL/27/j7wIn4fk_8cca0b91778141988b7f213ef2851474.jpg",Zyla,Apparel,Shirts,414,2199,81,4,312,"S/M, M/L, L/XL",Black,Relaxed Fit,Cotton,Long Sleeves,Solid,"Black Solid Semi Sheer Casual shirts ,has a Spread Collar, Button Placket, 1 Patch pocket, Long Regular Sleeves, Curved hem Brand Fit: Relaxed Fit: Relaxed Fit The model (height 5'8) is wearing a size S white oversized cotton shirt for women Regular Machine Wash Wash care: Machine Wash",InStock,SHAGUN CREATIONS,https://www.myntra.com/Shirts/Zyla/Zyla-Women-Relaxed-Semi-Sheer-Casual-Shirt/41669823/buy,2026-06-26T05:32:19.624356+00:00
